,delivery_mode,client_calls_number,customer_rating,product_cost,previous_purchases,product_priority,gender,discount,weigh_grams,delivered_on_time,aisle_store_A,aisle_store_B,aisle_store_C,aisle_store_D,aisle_store_F,delivery_priority_performance_Critical Delay,delivery_priority_performance_No Delay,delivery_priority_performance_Problematic Delay,delivery_priority_performance_Tolerable Delay,delivery_mode_performance_Critical Delay in Delivery by Ship,delivery_mode_performance_Critical Delivery Delay by Plane,delivery_mode_performance_Critical Delivery Truck Delay,delivery_mode_performance_No Delay,delivery_mode_performance_Problematic Delay in Delivery by Ship,delivery_mode_performance_Problematic Delay in Delivery by Truck,delivery_mode_performance_Problematic Delivery Delay by Plane,delivery_mode_performance_Tolerable Delivery Delay by Plane,delivery_mode_performance_Tolerable Delivery Delay by Ship,delivery_mode_performance_Tolerable Delivery Delay by Truck,discount_range_Above Average Discount,discount_range_Below Average Discount,discount_performance_range_Late Delivery with a Below Average discount,discount_performance_range_On Time Delivery at Above Average,discount_performance_range_On Time Delivery at Below Average Discount
0,1,-0.057347773731440184,-0.7003755648020696,0.37850467289719625,-0.35970184795536136,1,0,2.0993529407853804,0.03389335281227174,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,1,-0.057347773731440184,1.4239040408372658,0.5607476635514018,-1.135605124767058,1,1,3.099935704586244,0.3048940832724616,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2,1,-1.8037064456161827,-0.7003755648020696,0.40654205607476634,0.4162014288563354,1,1,2.3661750111322775,0.3466764061358656,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
3,1,-0.9305271096738114,0.007717637077708872,0.3738317757009346,0.4162014288563354,2,1,-0.16863465716324366,0.02571219868517166,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
4,1,-1.8037064456161827,-0.7003755648020696,0.4112149532710281,-0.35970184795536136,2,0,2.232763975958829,0.216654492330168,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
5,1,-0.9305271096738114,-1.408468766681848,0.30841121495327106,-0.35970184795536136,2,0,-0.035223621989795194,0.06077428780131483,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
6,1,-0.9305271096738114,0.7158108389574873,0.7196261682242991,-0.35970184795536136,1,0,-0.6355732802703133,0.20014609203798392,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
7,1,-0.057347773731440184,-1.408468766681848,0.6401869158878505,-1.135605124767058,1,0,2.3661750111322775,0.2634039444850256,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
8,1,-0.9305271096738114,0.7158108389574873,0.25233644859813087,-0.35970184795536136,1,0,-0.10192913957651943,0.12563915266617967,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
9,1,-0.9305271096738114,-0.7003755648020696,0.31775700934579443,-0.35970184795536136,2,0,1.0987701769845168,0.027173119065010964,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
10,1,-0.9305271096738114,0.7158108389574873,0.43457943925233644,-1.135605124767058,2,1,-0.035223621989795194,0.27567567567567564,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
11,1,-0.057347773731440184,1.4239040408372658,0.6355140186915887,-0.35970184795536136,2,0,1.2988867297446895,0.32899926953981007,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
12,1,-0.9305271096738114,1.4239040408372658,0.47663551401869153,-0.35970184795536136,2,0,-0.7689843154437618,0.3894813732651571,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
13,1,-0.057347773731440184,0.7158108389574873,0.836448598130841,-0.35970184795536136,0,1,1.0987701769845168,0.23389335281227172,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
14,1,-0.057347773731440184,0.007717637077708872,0.26168224299065423,-0.35970184795536136,1,1,2.032647423198656,0.0011687363038714316,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
15,1,-0.057347773731440184,0.007717637077708872,0.6121495327102803,-0.35970184795536136,1,0,2.1660584583721048,0.24923301680058438,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
16,1,-0.9305271096738114,0.7158108389574873,0.21962616822429903,-1.135605124767058,2,0,-0.4354567275101406,0.02819576333089846,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
17,0,0.815831562210931,1.4239040408372658,0.6121495327102803,-0.35970184795536136,2,1,1.5657088000915864,0.4311176040905771,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
18,0,0.815831562210931,1.4239040408372658,0.6682242990654205,-0.35970184795536136,0,1,0.3650094835305502,0.21826150474799125,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
19,0,-0.057347773731440184,1.4239040408372658,0.2289719626168224,-0.35970184795536136,2,1,2.1660584583721048,0.00847333820306792,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
20,0,-0.9305271096738114,0.007717637077708872,0.3037383177570093,-1.135605124767058,2,0,1.699119835265035,0.07596785975164352,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
21,0,-0.9305271096738114,-1.408468766681848,0.6355140186915887,0.4162014288563354,2,0,2.56629156389245,0.2772826880934989,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
22,0,-1.8037064456161827,1.4239040408372658,0.28037383177570097,-1.135605124767058,1,1,-0.7022787978570375,0.10942293644996345,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
23,0,-0.057347773731440184,0.007717637077708872,0.5373831775700935,-0.35970184795536136,0,1,-0.035223621989795194,0.4267348429510591,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
24,0,-0.057347773731440184,1.4239040408372658,0.7242990654205607,-1.135605124767058,2,0,1.0320646593977925,0.37399561723886043,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
25,0,-0.9305271096738114,-1.408468766681848,0.602803738317757,0.4162014288563354,1,1,1.0987701769845168,0.3644996347699051,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
